아동ID,설명_한번에 하나씩 말해주세요,설명_그림이나 사진이 있으면 좋아요,설명_짧고 쉬운 문장으로 말해주세요,설명_반복 설명이 필요해요,설명_선택지로 물어보면 잘 대답해요,설명_먼저 보여주고 설명하면 잘 이해해요,의사소통_문장으로 대답해요,의사소통_단어로 대답해요,의사소통_고개 끄덕임이나 손짓으로 대답해요,의사소통_그림/사진 카드가 필요해요,의사소통_네/아니오로 대답해요,의사소통_불편함을 말로 표현하기 어려워요,외출주의_차도/차량 위험 인지를 어려워해요,외출주의_신호등/횡단보도 규칙을 어려워해요,외출주의_낯선 사람을 쉽게 따라갈 수 있어요,외출주의_동행인과 떨어지면 위험을 잘 인지하지 못해요,외출주의_갑자기 뛰어갈 수 있어요,외출주의_위험한 물건을 만질 수 있어요,환경_큰 소리,환경_사람 많은 곳,환경_밝은 빛,환경_냄새,환경_신체 접촉,환경_갑작스러운 움직임,환경_대기,장소_지하철,장소_새로운 장소,장소_병원,장소_식당,장소_버스,장소_마트,장소_놀이공원,장소_영화관/공연장,일정변화_이동 수단 타기,일정변화_기다리기,일정변화_하던 활동 멈추기,일정변화_장소 이동하기,일정변화_집에 돌아가기,일정변화_화장실 가기,일정변화_예정과 다른 일이 생기기,미리알림_바로 직전,미리알림_5분 전,미리알림_10분 전,미리알림_30분 전,미리알림_1시간 전,미리알림_3시간 전,미리알림_전 날,출력_짧고쉬운설명필요,출력_반복설명필요,출력_시각자료필요,출력_선택지질문필요,출력_비언어의사소통지원필요,출력_불편함확인필요,출력_외출안전주의필요,출력_감각자극주의필요,출력_대기지원필요,출력_장소이동사전안내필요,출력_일정변경사전안내필요
C0001,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1
C0002,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
C0003,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
C0004,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
C0005,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1
C0006,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0
C0007,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0
C0008,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1
C0009,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
C0010,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0
