checked_items,tone,category
아동_장소_병원|일정_장소_병원방문|일정_환경_대기시간있음,kind,hospital_waiting
아동_장소_병원|일정_장소_병원방문|아동_일정변화_기다리기,kind,hospital_waiting
아동_장소_병원|일정_장소_병원방문|아동_미리알림_10분 전,kind,hospital_waiting
아동_장소_병원|일정_장소_병원방문|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
아동_장소_병원|일정_환경_대기시간있음|아동_일정변화_기다리기,kind,hospital_waiting
아동_장소_병원|일정_환경_대기시간있음|아동_미리알림_10분 전,kind,hospital_waiting
아동_장소_병원|일정_환경_대기시간있음|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
아동_장소_병원|아동_일정변화_기다리기|아동_미리알림_10분 전,kind,hospital_waiting
아동_장소_병원|아동_일정변화_기다리기|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
아동_장소_병원|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
일정_장소_병원방문|일정_환경_대기시간있음|아동_일정변화_기다리기,kind,hospital_waiting
일정_장소_병원방문|일정_환경_대기시간있음|아동_미리알림_10분 전,kind,hospital_waiting
일정_장소_병원방문|일정_환경_대기시간있음|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
일정_장소_병원방문|아동_일정변화_기다리기|아동_미리알림_10분 전,kind,hospital_waiting
일정_장소_병원방문|아동_일정변화_기다리기|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
일정_장소_병원방문|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
일정_환경_대기시간있음|아동_일정변화_기다리기|아동_미리알림_10분 전,kind,hospital_waiting
일정_환경_대기시간있음|아동_일정변화_기다리기|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
일정_환경_대기시간있음|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
아동_일정변화_기다리기|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
아동_장소_병원|일정_장소_병원방문|일정_환경_대기시간있음|아동_일정변화_기다리기,kind,hospital_waiting
아동_장소_병원|일정_장소_병원방문|일정_환경_대기시간있음|아동_미리알림_10분 전,kind,hospital_waiting
아동_장소_병원|일정_장소_병원방문|일정_환경_대기시간있음|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
아동_장소_병원|일정_장소_병원방문|아동_일정변화_기다리기|아동_미리알림_10분 전,kind,hospital_waiting
아동_장소_병원|일정_장소_병원방문|아동_일정변화_기다리기|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
아동_장소_병원|일정_장소_병원방문|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
아동_장소_병원|일정_환경_대기시간있음|아동_일정변화_기다리기|아동_미리알림_10분 전,kind,hospital_waiting
아동_장소_병원|일정_환경_대기시간있음|아동_일정변화_기다리기|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
아동_장소_병원|일정_환경_대기시간있음|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
아동_장소_병원|아동_일정변화_기다리기|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
일정_장소_병원방문|일정_환경_대기시간있음|아동_일정변화_기다리기|아동_미리알림_10분 전,kind,hospital_waiting
일정_장소_병원방문|일정_환경_대기시간있음|아동_일정변화_기다리기|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
일정_장소_병원방문|일정_환경_대기시간있음|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
일정_장소_병원방문|아동_일정변화_기다리기|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
일정_환경_대기시간있음|아동_일정변화_기다리기|아동_미리알림_10분 전|아동_설명_반복 설명이 필요해요,kind,hospital_waiting
아동_장소_병원|일정_장소_병원방문|일정_환경_대기시간있음,strict,hospital_waiting
아동_장소_병원|일정_장소_병원방문|아동_일정변화_기다리기,strict,hospital_waiting
아동_장소_병원|일정_장소_병원방문|아동_미리알림_10분 전,strict,hospital_waiting
아동_장소_병원|일정_장소_병원방문|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
아동_장소_병원|일정_환경_대기시간있음|아동_일정변화_기다리기,strict,hospital_waiting
아동_장소_병원|일정_환경_대기시간있음|아동_미리알림_10분 전,strict,hospital_waiting
아동_장소_병원|일정_환경_대기시간있음|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
아동_장소_병원|아동_일정변화_기다리기|아동_미리알림_10분 전,strict,hospital_waiting
아동_장소_병원|아동_일정변화_기다리기|아동_설명_반복 설명이 필요해요,strict,hospital_waiting
